proxy,protocol,latency_ms,https,exit_ip,checks_passed,checks_total
44.204.11.88:38204,http,324,false,44.204.11.88,2,3
13.208.246.143:8899,http,341,false,13.208.246.143,2,3
43.203.140.58:22225,http,341,false,43.203.140.58,2,3
3.80.77.202:3024,http,354,false,3.80.77.202,2,3
54.246.244.235:8103,http,367,false,54.246.244.235,2,3
51.17.84.111:1083,http,411,false,51.17.84.111,3,3
16.26.99.200:29154,http,440,false,16.26.99.200,1,3
108.137.70.33:36933,http,466,false,108.137.70.33,1,3
51.44.97.6:54593,http,473,false,51.44.97.6,2,3
51.20.109.37:8686,http,477,false,51.20.109.37,2,3
189.51.168.164:999,http,491,false,189.51.168.164,2,3
34.43.46.91:443,http,497,false,35.235.153.76,3,3
54.238.215.10:47604,http,506,false,54.238.215.10,1,3
78.12.25.241:1528,http,507,false,78.12.25.241,2,3
54.206.129.120:9825,http,518,false,54.206.129.120,2,3
43.218.232.39:38463,http,524,false,43.218.232.39,2,3
54.186.207.218:18783,http,530,false,54.186.207.218,2,3
15.152.38.117:26394,http,544,false,15.152.38.117,1,3
3.121.130.230:8382,http,544,false,3.121.130.230,1,3
51.38.129.42:3169,http,545,false,51.38.129.42,3,3
35.180.75.159:58700,http,545,false,35.180.75.159,2,3
44.204.11.88:7727,http,550,false,44.204.11.88,1,3
43.198.78.37:7070,http,553,false,43.198.78.37,1,3
15.160.67.218:14620,http,557,false,15.160.67.218,2,3
54.206.129.120:13866,http,590,false,54.206.129.120,2,3
43.198.78.37:6287,http,598,false,43.198.78.37,3,3
16.18.32.153:32342,http,603,false,16.18.32.153,1,3
35.180.75.159:50680,http,604,false,35.180.75.159,1,3
3.252.122.151:31533,http,606,false,3.252.122.151,1,3
54.180.117.151:47737,http,609,false,54.180.117.151,2,3
18.231.254.94:28806,http,609,false,18.231.254.94,1,3
51.49.153.183:14287,http,622,false,51.49.153.183,3,3
3.250.220.74:44452,http,625,false,3.250.220.74,2,3
34.207.102.197:27861,http,641,false,34.207.102.197,2,3
175.210.254.155:80,http,648,false,175.210.254.155,3,3
34.43.46.91:80,http,656,false,34.143.51.195,3,3
54.180.117.151:44125,http,665,false,54.180.117.151,3,3
43.216.195.95:2809,http,666,false,43.216.195.95,2,3
3.19.213.118:8070,http,671,false,3.19.213.118,1,3
8.215.112.240:7777,http,679,true,8.215.112.240,3,3
43.207.225.199:30827,http,685,false,43.207.225.199,1,3
51.44.97.6:2025,http,692,false,51.44.97.6,2,3
13.57.49.6:59616,http,696,false,13.57.49.6,2,3
54.67.110.244:29259,http,698,false,54.67.110.244,1,3
