proxy,protocol,latency_ms,https,exit_ip,checks_passed,checks_total
3.134.245.77:35984,http,52,false,3.134.245.77,1,3
3.96.59.229:8254,http,56,false,3.96.59.229,1,3
18.188.168.99:25106,http,57,false,18.188.168.99,1,3
34.207.239.230:26568,http,57,false,34.207.239.230,1,3
18.188.53.175:21099,http,58,false,18.188.53.175,1,3
3.96.59.229:57959,http,61,false,3.96.59.229,1,3
100.61.113.24:31469,http,63,false,100.61.113.24,1,3
52.207.237.127:10415,http,64,false,52.207.237.127,1,3
3.19.213.118:4236,http,64,false,3.19.213.118,2,3
44.200.234.67:24917,http,65,false,44.200.234.67,1,3
34.207.239.230:6080,http,65,false,34.207.239.230,1,3
3.19.213.118:14724,http,67,false,3.19.213.118,1,3
3.96.59.229:39742,http,68,false,3.96.59.229,1,3
52.90.128.236:34760,http,68,false,52.90.128.236,2,3
3.95.63.11:80,http,70,false,3.95.63.11,1,3
18.188.53.175:8928,http,72,false,18.188.53.175,1,3
18.188.53.175:14805,http,72,false,18.188.53.175,1,3
35.183.127.162:1452,http,72,false,35.183.127.162,1,3
3.231.160.150:8067,http,72,false,3.231.160.150,1,3
18.188.53.175:1972,http,73,false,18.188.53.175,1,3
18.222.132.180:8070,http,75,false,18.222.132.180,1,3
54.215.41.74:17567,http,75,false,54.215.41.74,1,3
18.145.194.21:10800,http,76,false,18.145.194.21,1,3
54.193.36.147:8080,http,77,false,54.193.36.147,1,3
54.67.110.244:39088,http,77,false,54.67.110.244,1,3
98.94.14.234:17082,http,77,false,98.94.14.234,1,3
18.188.168.99:19417,http,80,false,18.188.168.99,1,3
98.94.14.234:8083,http,83,false,98.94.14.234,1,3
35.183.29.62:22618,http,83,false,35.183.29.62,2,3
18.222.132.180:17132,http,85,false,18.222.132.180,1,3
78.12.83.81:8254,http,85,false,78.12.83.81,1,3
54.215.41.74:2647,http,85,false,54.215.41.74,2,3
18.190.253.157:10809,http,86,false,18.190.253.157,1,3
18.188.53.175:84,http,87,false,18.188.53.175,1,3
78.13.162.235:2366,http,90,false,78.13.162.235,1,3
78.12.194.85:58698,http,91,false,78.12.194.85,1,3
35.183.127.162:12458,http,93,false,35.183.127.162,1,3
34.207.102.197:16999,http,93,false,34.207.102.197,1,3
18.222.132.180:13831,http,93,false,18.222.132.180,1,3
3.134.245.77:50768,http,93,false,3.134.245.77,1,3
3.95.63.11:45692,http,95,false,3.95.63.11,2,3
3.95.63.11:8010,http,96,false,3.95.63.11,2,3
78.12.252.87:9108,http,97,false,78.12.252.87,1,3
15.223.218.32:6049,http,98,false,15.223.218.32,1,3
34.207.239.230:36513,http,99,false,34.207.239.230,2,3
18.190.253.157:3128,http,101,false,18.190.253.157,2,3
78.14.19.3:30736,http,102,false,78.14.19.3,1,3
18.191.250.90:18254,http,105,false,18.191.250.90,2,3
35.183.127.162:9898,http,105,false,35.183.127.162,1,3
16.144.244.194:4145,http,105,false,16.144.244.194,1,3
44.247.106.98:1976,http,105,false,44.247.106.98,2,3
34.220.80.147:34889,http,106,false,34.220.80.147,1,3
16.144.244.194:9184,http,106,false,16.144.244.194,1,3
54.218.108.165:2554,http,107,false,54.218.108.165,1,3
34.220.80.147:80,http,108,false,34.220.80.147,1,3
54.188.236.206:23647,http,108,false,54.188.236.206,1,3
